Timestamp,TemperatureC,TemperatureF
2025-08-01 05:32:26,36.8125,98.2625
2025-08-01 05:42:26,35.8125,96.6875
2025-08-01 05:52:26,26.9375,80.2625
2025-08-01 06:02:26,26.4375,79.5875
2025-08-01 06:12:26,36.4375,97.8125
2025-08-01 06:22:26,36.3750,97.9250
2025-08-01 06:32:26,36.2500,97.8125
2025-08-01 06:42:26,36.6875,98.7125
2025-08-01 06:52:26,36.9375,99.0500
2025-08-01 07:02:26,36.4375,98.0375
2025-08-01 07:12:26,35.0000,95.3375
2025-08-01 07:22:26,34.8125,95.4500
2025-08-01 07:32:26,35.0000,95.6750
2025-08-01 07:42:26,35.0000,95.5625
2025-08-01 07:52:26,34.1875,93.9875
2025-08-01 08:02:26,34.8125,95.1125
2025-08-01 08:12:26,33.3750,92.5250
2025-08-01 08:22:26,32.5625,91.0625
2025-08-01 08:32:26,32.2500,90.8375
2025-08-01 08:42:26,33.5000,92.7500
2025-08-01 08:52:26,34.3750,94.6625
2025-08-01 09:02:26,35.0625,95.5625
2025-08-01 09:12:26,36.0625,97.0250
2025-08-01 09:22:26,35.3750,96.2375
2025-08-01 09:32:26,32.9375,91.8500
2025-08-01 09:42:26,33.6875,93.2000
2025-08-01 09:52:26,35.9375,96.8000
2025-08-01 10:02:26,36.9375,99.0500
2025-08-01 10:12:26,37.0000,99.3875
2025-08-01 10:22:26,37.3125,99.3875
2025-08-01 10:32:26,27.8750,81.9500
2025-08-01 10:42:26,26.3125,79.3625
2025-08-01 10:52:26,36.5625,98.4875
2025-08-01 11:02:26,36.8125,99.1625
2025-08-01 11:12:26,36.0625,97.4750
2025-08-01 11:22:26,37.3125,100.0625
2025-08-01 11:32:26,36.8750,99.2750
2025-08-01 11:42:26,36.2500,97.4750
2025-08-01 11:52:26,35.9375,97.2500
2025-08-01 12:02:26,36.5000,98.0375
2025-08-01 12:12:26,36.5000,98.1500
2025-08-01 12:22:26,35.0625,95.6750
2025-08-01 12:32:26,34.3125,94.4375
2025-08-01 12:42:26,36.6250,98.7125
2025-08-01 12:52:26,36.3750,97.5875
2025-08-01 13:02:26,33.9375,93.2000
2025-08-01 13:12:26,36.8125,98.3750
2025-08-01 13:22:26,37.0000,98.7125
2025-08-01 13:32:26,36.8125,98.6000
2025-08-01 13:42:26,34.3125,93.7625
2025-08-01 13:52:26,31.4375,88.7000
2025-08-01 14:02:26,36.6250,98.0375
2025-08-01 14:12:26,36.5625,97.9250
2025-08-01 14:22:26,35.8125,96.8000
2025-08-01 14:32:26,36.0000,96.8000
2025-08-01 14:42:26,36.6250,97.8125
2025-08-01 14:52:26,36.7500,98.0375
2025-08-01 15:02:26,36.9375,98.6000
2025-08-01 15:12:26,37.0000,98.6000
2025-08-01 15:22:26,34.3750,93.6500
2025-08-01 15:32:26,27.2500,81.0500
2025-08-01 15:42:26,27.6250,81.8375
2025-08-01 15:52:26,35.8750,96.9125
2025-08-01 16:02:26,36.9375,98.3750
2025-08-01 16:12:26,36.6250,98.2625
2025-08-01 16:22:26,36.1250,96.5750
2025-08-01 16:32:26,36.6250,97.9250
2025-08-01 16:42:26,34.3750,94.2125
2025-08-01 16:52:26,32.3750,90.0500
2025-08-01 17:02:26,35.0000,95.0000
2025-08-01 17:12:26,33.3750,92.1875
2025-08-01 17:22:26,35.5625,95.7875
2025-08-01 17:32:26,31.5000,88.5875
2025-08-01 17:42:26,37.1250,98.3750
2025-08-01 17:52:26,36.5625,97.7000
2025-08-01 18:02:26,35.5000,95.9000
2025-08-01 18:12:26,37.3750,99.2750
2025-08-01 18:22:26,36.4375,97.5875
2025-08-01 18:32:26,36.6250,97.7000
2025-08-01 18:42:26,36.6250,97.8125
2025-08-01 18:52:26,36.8125,98.1500
